LOC_ID,Gene_description,Canonical_XP,N_studies,DS1_identified,DS1_n_comparisons,DS1_comparisons,DS2_identified,DS2_n_comparisons,DS2_comparisons,DS3_identified,DS3_n_comparisons,DS3_comparisons,DS4_identified,DS4_n_comparisons,DS4_comparisons,DS5_identified,DS5_n_comparisons,DS5_comparisons
LOC111105336,GTPase IMAP family member 4-like,XP_022295282.1,2,Yes,1,fam90_vs_fam89,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111105338,ficolin-1-like,XP_022295285.1,2,Yes,1,fam90_vs_fam84,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111105509,uncharacterized protein LOC111105509 isoform X3,XP_022295549.1,2,Yes,1,fam90_vs_fam89,No,0,,No,0,,Yes,1,6h_fed_vs_ctrl,No,0,
LOC111105516,E3 ubiquitin-protein ligase arih1-like,XP_022295569.1,2,Yes,1,fam90_vs_fam89,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111105635,uncharacterized protein LOC111105635,XP_022295718.1,2,Yes,1,fam90_vs_fam84,No,0,,No,0,,Yes,2,6h_fed_vs_ctrl; 7d_fed_vs_inj,No,0,
LOC111105761,uncharacterized protein LOC111105761,XP_022295850.1,2,Yes,1,fam90_vs_fam120,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111105826,protein SSUH2 homolog,XP_022295940.1,2,Yes,1,fam90_vs_fam89,No,0,,No,0,,Yes,1,28d_fed_vs_inj,No,0,
LOC111106267,interferon-induced protein 44-like,XP_022296583.1,2,Yes,3,fam90_vs_fam120; fam90_vs_fam84; fam90_vs_fam89,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111106355,tyramine beta-hydroxylase-like isoform X2,XP_022296718.1,2,Yes,2,fam90_vs_fam84; fam90_vs_fam89,No,0,,No,0,,Yes,1,28d_fed_vs_inj,No,0,
LOC111106385,uncharacterized protein LOC111106385 isoform X1,XP_022296748.1,2,Yes,1,fam90_vs_fam120,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111106448,interaptin-like,XP_022296829.1,2,Yes,2,fam90_vs_fam120; fam90_vs_fam84,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111106726,baculoviral IAP repeat-containing protein 2-like isoform X2,XP_022297223.1,2,Yes,1,fam90_vs_fam120,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111106740,probable transcription-associated protein 1,XP_022297243.1,2,Yes,1,fam90_vs_fam120,No,0,,No,0,,Yes,1,28d_fed_vs_inj,No,0,
LOC111106812,uncharacterized protein LOC111106812 isoform X1,XP_022297343.1,2,Yes,2,fam90_vs_fam84; fam90_vs_fam89,No,0,,No,0,,Yes,1,6h_fed_vs_ctrl,No,0,
LOC111106954,mesoderm-specific transcript protein-like,XP_022297556.1,2,Yes,2,fam90_vs_fam84; fam90_vs_fam89,No,0,,No,0,,Yes,1,36h_fed_vs_inj,No,0,
LOC111107104,uncharacterized protein LOC111107104 isoform X2,XP_022297791.1,2,Yes,3,fam90_vs_fam120; fam90_vs_fam84; fam90_vs_fam89,No,0,,No,0,,Yes,1,6h_fed_vs_ctrl,No,0,
LOC111107173,macrophage-expressed gene 1 protein-like,XP_022297922.1,2,Yes,1,fam90_vs_fam84,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111107506,neurogenic locus notch homolog protein 1-like,XP_022298437.1,2,Yes,1,fam90_vs_fam120,No,0,,No,0,,Yes,1,28d_fed_vs_inj,No,0,
LOC111108043,regulator of nonsense transcripts 2-like isoform X1,XP_022299238.1,2,Yes,2,fam90_vs_fam84; fam90_vs_fam89,No,0,,No,0,,Yes,1,36h_fed_vs_inj,No,0,
LOC111108045,uncharacterized protein LOC111108045 isoform X1,XP_022299242.1,2,Yes,3,fam90_vs_fam120; fam90_vs_fam84; fam90_vs_fam89,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111108086,plasma membrane calcium-transporting ATPase 2-like isoform X9,XP_022299316.1,2,Yes,2,fam90_vs_fam84; fam90_vs_fam89,No,0,,No,0,,Yes,1,28d_fed_vs_inj,No,0,
